Book ID,Title,Author(s),Category,Price (ETB),Cover Image,Language,Publisher,Format,Page Count,Publication Year,ISBN,Original Filename,File Path,File Size
BK-00001,The portable mba in finance and accounting A & F 0050,_x0010_4<8=8AB@0B>@,Accounting & Finance Corner,,BK-00001.webp,en,,PDF,600.0,2013.0,,The_portable_mba_in_finance_and_accounting-A_&_F_0050.pdf,The_portable_mba_in_finance_and_accounting-A_&_F_0050.pdf,4.47 MB
BK-00002,ADFA_A01.QXD,Unknown,Accounting & Finance Corner,,BK-00002.webp,en,,PDF,735.0,2008.0,,Advanced_financial_accounting-A_&_F_0008.pdf,Advanced_financial_accounting-A_&_F_0008.pdf,4.74 MB
BK-00003,E:\eBOOK\NEW EBOOK\high_quality\foxit_moyer_finmgt10e_password_downloadslide.pdf,aziz,Accounting & Finance Corner,,BK-00003.webp,en,,PDF,901.0,2011.0,,Moyer_06_finmgt10e-A_&_F_0044.pdf,Moyer_06_finmgt10e-A_&_F_0044.pdf,54.42 MB
BK-00004,advanced financial accounting 10th edition,Unknown,Accounting & Finance Corner,,BK-00004.webp,en,,PDF,1126.0,2013.0,,Advanced_financial_accounting_10th_christensen_cottrell_baker-A_&_F_0006.pdf,Advanced_financial_accounting_10th_christensen_cottrell_baker-A_&_F_0006.pdf,22.58 MB
BK-00005,9781447930297.pdf,Unknown,Accounting & Finance Corner,,BK-00005.webp,en,,PDF,893.0,2011.0,,"Charles_t_horngren,_srikant_m_datar,_madhav_v_rajan_cost_accounting-A_&_F_0015.pdf","Charles_t_horngren,_srikant_m_datar,_madhav_v_rajan_cost_accounting-A_&_F_0015.pdf",9.35 MB
BK-00006,Basic statistics for business economics fifth edition A & F 0013,Unknown,Accounting & Finance Corner,,BK-00006.webp,en,,PDF,580.0,2006.0,,Basic_statistics_for_business_economics_fifth_edition-A_&_F_0013.pdf,Basic_statistics_for_business_economics_fifth_edition-A_&_F_0013.pdf,74.46 MB
BK-00007,"Brigham/Ehrhardt's Financial Management: T&P, 13th Ed.",Eugene F. Brigham,Accounting & Finance Corner,,BK-00007.webp,en,,PDF,1186.0,2010.0,,Financial_management-A_&_F_0026.pdf,Financial_management-A_&_F_0026.pdf,9.21 MB
BK-00008,Front Matter,Keith McCormick and Jesus Salcedo,Accounting & Finance Corner,,BK-00008.webp,en,,PDF,511.0,2017.0,,"Keith_mccormick,_jesus_salcedo_et_al_spss_statistics_for_data_analysis-A_&_F_0040.pdf","Keith_mccormick,_jesus_salcedo_et_al_spss_statistics_for_data_analysis-A_&_F_0040.pdf",93.67 MB
BK-00009,Quantitative Research by Example   version: 1.0.0  {},"Ioan Gelu Ionas, MBA, Ph.D.",Accounting & Finance Corner,,BK-00009.webp,en,,PDF,108.0,2019.0,,Quantitative_research_by_example-A_&_F_0048.pdf,Quantitative_research_by_example-A_&_F_0048.pdf,1.77 MB
BK-00010,Data Analysis with Stata,Prasad Kothari,Accounting & Finance Corner,,BK-00010.webp,en,,PDF,176.0,2017.0,,Data_analysis_with_stata_prasad_kothari-A_&_F_0020.pdf,Data_analysis_with_stata_prasad_kothari-A_&_F_0020.pdf,5.16 MB
BK-00011,Illustrative ifrs financial statements 2024   ey A & F 0034,Elizabeth M Henry,Accounting & Finance Corner,,BK-00011.webp,en,,PDF,164.0,2024.0,,Illustrative_ifrs_financial_statements_2024___ey-A_&_F_0034.pdf,Illustrative_ifrs_financial_statements_2024___ey-A_&_F_0034.pdf,3.05 MB
BK-00012,"Investment Management: Portfolio Diversification, Risk, and Timing",Robert L. Hagin,Accounting & Finance Corner,,BK-00012.webp,en,,PDF,321.0,2006.0,,Investment_management-A_&_F_0039.pdf,Investment_management-A_&_F_0039.pdf,2.90 MB
BK-00013,Financial Management: Theory & Practice (Kindle),Eugene F. Brigham,Accounting & Finance Corner,,BK-00013.webp,en,,PDF,1107.0,2007.0,,Financial_management__theory_and_practice-A_&_F_0025.pdf,Financial_management__theory_and_practice-A_&_F_0025.pdf,9.74 MB
BK-00014,Guide to annual financial statements – Illustrative disclosures,KPMG ISG,Accounting & Finance Corner,,BK-00014.webp,en,,PDF,208.0,2024.0,,Illustrative_ifrs_financial_statements_2024___kpmg-A_&_F_0035.pdf,Illustrative_ifrs_financial_statements_2024___kpmg-A_&_F_0035.pdf,3.01 MB
